Longtitude,Latitude,intensity (mm/hr)
121.4750,25.1375,2.0
121.4875,25.1375,1.9
121.5000,25.1375,1.9
121.5125,25.1375,1.8
121.5250,25.1375,1.7
121.5375,25.1375,1.7
121.5500,25.1375,1.7
121.5625,25.1375,1.8
121.5750,25.1375,2.0
121.5875,25.1375,2.2
121.6000,25.1375,2.3
121.6125,25.1375,2.2
121.6250,25.1375,1.9
121.6375,25.1375,1.8
121.6500,25.1375,1.7
121.6625,25.1375,1.6
121.6750,25.1375,1.6
121.6875,25.1375,1.6
121.7000,25.1375,1.5
121.7125,25.1375,1.6
121.7250,25.1375,1.6
121.7375,25.1375,1.5
121.7500,25.1375,1.3
121.7625,25.1375,1.2
121.7750,25.1375,1.2
121.7875,25.1375,0.9
121.8000,25.1375,0.8
121.3375,25.1250,1.4
121.3500,25.1250,1.8
121.3625,25.1250,2.0
121.3750,25.1250,3.3
121.3875,25.1250,4.0
121.4000,25.1250,4.2
121.4125,25.1250,4.6
121.4250,25.1250,5.0
121.4375,25.1250,4.4
121.4500,25.1250,4.2
121.4625,25.1250,3.4
121.4750,25.1250,2.9
121.4875,25.1250,1.9
121.5000,25.1250,1.9
121.5125,25.1250,1.9
121.5250,25.1250,1.8
121.5375,25.1250,1.8
121.5500,25.1250,1.8
121.5625,25.1250,1.9
121.5750,25.1250,2.1
121.5875,25.1250,2.3
121.6000,25.1250,2.4
121.6125,25.1250,2.4
121.6250,25.1250,2.3
121.6375,25.1250,2.0
121.6500,25.1250,1.9
121.6625,25.1250,1.7
121.6750,25.1250,1.6
121.6875,25.1250,1.5
121.7000,25.1250,1.5
121.7125,25.1250,1.7
121.7250,25.1250,1.8
121.7375,25.1250,1.6
121.7500,25.1250,1.5
121.7625,25.1250,1.3
121.7750,25.1250,1.2
121.7875,25.1250,1.2
121.8000,25.1250,0.9
121.8125,25.1250,0.8
121.8375,25.1250,0.6
121.8500,25.1250,0.6
121.8750,25.1250,0.6
121.2375,25.1125,0.1
121.2500,25.1125,0.2
121.2625,25.1125,0.2
121.2750,25.1125,0.2
121.2875,25.1125,0.3
121.3000,25.1125,0.4
121.3125,25.1125,0.4
121.3250,25.1125,0.5
121.3375,25.1125,0.8
121.3500,25.1125,1.0
121.3625,25.1125,1.3
121.3750,25.1125,3.1
121.3875,25.1125,4.2
121.4000,25.1125,4.8
121.4125,25.1125,5.5
121.4250,25.1125,6.2
121.4375,25.1125,6.0
121.4500,25.1125,5.0
121.4625,25.1125,4.5
121.4750,25.1125,3.8
121.4875,25.1125,2.4
121.5000,25.1125,2.1
121.5125,25.1125,1.8
121.5250,25.1125,1.7
121.5375,25.1125,1.7
121.5500,25.1125,1.8
121.5625,25.1125,2.0
121.5750,25.1125,2.1
121.5875,25.1125,2.8
121.6000,25.1125,3.3
121.6125,25.1125,3.9
121.6250,25.1125,4.0
121.6375,25.1125,3.8
121.6500,25.1125,3.6
121.6625,25.1125,3.2
121.6750,25.1125,2.1
121.6875,25.1125,1.9
121.7000,25.1125,2.0
121.7125,25.1125,2.0
121.7250,25.1125,2.0
121.7375,25.1125,2.3
121.7500,25.1125,2.3
121.7625,25.1125,2.0
121.7750,25.1125,1.4
121.7875,25.1125,1.4
121.8000,25.1125,1.3
121.8125,25.1125,1.2
121.8250,25.1125,1.2
121.8375,25.1125,0.9
121.8500,25.1125,0.8
121.8625,25.1125,0.8
121.8750,25.1125,0.9
121.8875,25.1125,0.9
121.9000,25.1125,0.8
121.9125,25.1125,0.8
121.2000,25.1000,0.1
121.2125,25.1000,0.1
