Longtitude,Latitude,intensity (mm/hr)
121.0875,25.0500,0.0
121.1000,25.0500,0.0
121.1125,25.0500,0.0
121.1250,25.0500,0.0
121.1375,25.0500,0.0
121.1500,25.0500,0.0
121.1625,25.0500,0.0
121.1750,25.0500,0.0
121.1875,25.0500,0.0
121.2000,25.0500,0.0
121.2125,25.0500,0.0
121.2250,25.0500,0.0
121.2375,25.0500,0.1
121.2500,25.0500,0.2
121.2625,25.0500,0.3
121.2750,25.0500,0.4
121.2875,25.0500,0.5
121.3000,25.0500,0.6
121.3125,25.0500,0.7
121.3250,25.0500,0.8
121.3375,25.0500,0.9
121.3500,25.0500,0.9
121.3625,25.0500,0.9
121.3750,25.0500,1.0
121.3875,25.0500,1.0
121.4000,25.0500,1.2
121.4125,25.0500,1.4
121.4250,25.0500,3.1
121.4375,25.0500,3.9
121.4500,25.0500,4.3
121.4625,25.0500,3.8
121.4750,25.0500,3.1
121.4875,25.0500,2.2
121.5000,25.0500,1.5
121.5125,25.0500,1.2
121.5250,25.0500,1.0
121.5375,25.0500,1.1
121.5500,25.0500,1.1
121.5625,25.0500,1.2
121.5750,25.0500,1.3
121.5875,25.0500,1.7
121.6000,25.0500,1.8
121.6125,25.0500,2.0
121.6250,25.0500,3.1
121.6375,25.0500,3.8
121.6500,25.0500,4.8
121.6625,25.0500,5.6
121.6750,25.0500,6.3
121.6875,25.0500,6.2
121.7000,25.0500,5.6
121.7125,25.0500,5.1
121.7250,25.0500,4.7
121.7375,25.0500,3.6
121.7500,25.0500,3.1
121.7625,25.0500,2.8
121.7750,25.0500,2.2
121.7875,25.0500,2.0
121.8000,25.0500,1.8
121.8125,25.0500,1.7
121.8250,25.0500,1.5
121.8375,25.0500,1.4
121.8500,25.0500,1.3
121.8625,25.0500,1.3
121.8750,25.0500,1.2
121.8875,25.0500,1.1
121.9000,25.0500,1.1
121.9125,25.0500,1.0
121.9250,25.0500,0.7
121.0625,25.0375,0.0
121.0750,25.0375,0.0
121.0875,25.0375,0.0
121.1000,25.0375,0.0
121.1125,25.0375,0.0
121.1250,25.0375,0.0
121.1375,25.0375,0.0
121.1500,25.0375,0.0
121.1625,25.0375,0.0
121.1750,25.0375,0.0
121.1875,25.0375,0.0
121.2000,25.0375,0.0
121.2125,25.0375,0.0
121.2250,25.0375,0.0
121.2375,25.0375,0.1
121.2500,25.0375,0.1
121.2625,25.0375,0.2
121.2750,25.0375,0.4
121.2875,25.0375,0.5
121.3000,25.0375,0.6
121.3125,25.0375,0.7
121.3250,25.0375,0.8
121.3375,25.0375,1.0
121.3500,25.0375,1.0
121.3625,25.0375,1.0
121.3750,25.0375,1.0
121.3875,25.0375,1.1
121.4000,25.0375,1.1
121.4125,25.0375,1.1
121.4250,25.0375,1.4
121.4375,25.0375,1.5
121.4500,25.0375,2.2
121.4625,25.0375,2.4
121.4750,25.0375,2.4
121.4875,25.0375,1.5
121.5000,25.0375,1.2
121.5125,25.0375,1.1
121.5250,25.0375,0.9
121.5375,25.0375,1.1
121.5500,25.0375,1.1
121.5625,25.0375,1.2
121.5750,25.0375,1.4
121.5875,25.0375,1.7
121.6000,25.0375,1.8
121.6125,25.0375,2.0
121.6250,25.0375,2.7
121.6375,25.0375,3.2
121.6500,25.0375,4.0
121.6625,25.0375,4.6
121.6750,25.0375,5.5
121.6875,25.0375,5.4
121.7000,25.0375,5.3
121.7125,25.0375,4.9
121.7250,25.0375,4.7
121.7375,25.0375,3.7
121.7500,25.0375,3.3
121.7625,25.0375,2.9
121.7750,25.0375,2.3
121.7875,25.0375,2.0
121.8000,25.0375,1.8
121.8125,25.0375,1.7
121.8250,25.0375,1.6
121.8375,25.0375,1.4
121.8500,25.0375,1.4
121.8625,25.0375,1.3
121.8750,25.0375,1.2
121.8875,25.0375,1.1
121.9000,25.0375,1.0
121.9125,25.0375,0.9
121.9250,25.0375,0.6
121.0500,25.0250,0.0
121.0625,25.0250,0.0
121.0750,25.0250,0.0
121.0875,25.0250,0.0
121.1000,25.0250,0.0
121.1125,25.0250,0.0
121.1250,25.0250,0.0
121.1375,25.0250,0.0
121.1500,25.0250,0.0
121.1625,25.0250,0.0
121.1750,25.0250,0.0
121.1875,25.0250,0.0
121.2000,25.0250,0.0
121.2125,25.0250,0.0
121.2250,25.0250,0.1
121.2375,25.0250,0.2
121.2500,25.0250,0.2
121.2625,25.0250,0.3
121.2750,25.0250,0.4
121.2875,25.0250,0.5
121.3000,25.0250,0.5
121.3125,25.0250,0.6
121.3250,25.0250,0.7
121.3375,25.0250,0.9
121.3500,25.0250,1.1
121.3625,25.0250,1.2
121.3750,25.0250,1.1
121.3875,25.0250,1.1
121.4000,25.0250,1.1
121.4125,25.0250,1.1
121.4250,25.0250,1.0
121.4375,25.0250,0.9
121.4500,25.0250,0.9
121.4625,25.0250,0.9
121.4750,25.0250,1.0
121.4875,25.0250,1.0
121.5000,25.0250,1.0
121.5125,25.0250,0.9
121.5250,25.0250,0.8
121.5375,25.0250,0.8
121.5500,25.0250,0.9
121.5625,25.0250,1.1
121.5750,25.0250,1.3
121.5875,25.0250,1.7
121.6000,25.0250,1.8
121.6125,25.0250,2.0
121.6250,25.0250,3.0
121.6375,25.0250,3.4
121.6500,25.0250,3.8
121.6625,25.0250,3.9
121.6750,25.0250,4.2
121.6875,25.0250,4.3
121.7000,25.0250,4.5
121.7125,25.0250,4.4
121.7250,25.0250,4.4
121.7375,25.0250,3.9
121.7500,25.0250,3.8
121.7625,25.0250,3.3
121.7750,25.0250,2.7
121.7875,25.0250,2.3
121.8000,25.0250,2.1
121.8125,25.0250,1.8
121.8250,25.0250,1.6
121.8375,25.0250,1.5
121.8500,25.0250,1.3
121.8625,25.0250,1.2
121.8750,25.0250,1.0
121.8875,25.0250,0.8
121.9000,25.0250,0.7
121.9125,25.0250,0.6
121.9250,25.0250,0.5
121.9375,25.0250,0.4
121.0375,25.0125,0.0
121.0500,25.0125,0.0
121.0625,25.0125,0.0
121.0750,25.0125,0.0
121.0875,25.0125,0.0
121.1000,25.0125,0.0
121.1125,25.0125,0.0
121.1250,25.0125,0.0
121.1375,25.0125,0.0
121.1500,25.0125,0.0
121.1625,25.0125,0.0
121.1750,25.0125,0.0
121.1875,25.0125,0.0
121.2000,25.0125,0.0
121.2125,25.0125,0.1
121.2250,25.0125,0.1
121.2375,25.0125,0.2
121.2500,25.0125,0.3
121.2625,25.0125,0.3
121.2750,25.0125,0.5
121.2875,25.0125,0.5
121.3000,25.0125,0.6
121.3125,25.0125,0.7
121.3250,25.0125,0.7
121.3375,25.0125,0.9
121.3500,25.0125,0.9
121.3625,25.0125,1.1
121.3750,25.0125,1.1
121.3875,25.0125,1.1
121.4000,25.0125,1.1
121.4125,25.0125,1.1
121.4250,25.0125,0.9
121.4375,25.0125,0.9
121.4500,25.0125,0.9
121.4625,25.0125,0.8
121.4750,25.0125,0.8
121.4875,25.0125,0.8
121.5000,25.0125,0.8
121.5125,25.0125,0.9
121.5250,25.0125,0.8
121.5375,25.0125,0.8
121.5500,25.0125,0.8
121.5625,25.0125,0.9
121.5750,25.0125,1.1
121.5875,25.0125,1.5
121.6000,25.0125,1.8
121.6125,25.0125,2.0
121.6250,25.0125,3.2
121.6375,25.0125,3.6
121.6500,25.0125,3.9
121.6625,25.0125,4.1
121.6750,25.0125,3.7
121.6875,25.0125,4.0
121.7000,25.0125,4.1
121.7125,25.0125,4.1
121.7250,25.0125,4.1
121.7375,25.0125,3.9
121.7500,25.0125,3.7
121.7625,25.0125,3.4
121.7750,25.0125,3.0
121.7875,25.0125,2.6
121.8000,25.0125,2.3
121.8125,25.0125,2.0
121.8250,25.0125,1.7
121.8375,25.0125,1.3
121.8500,25.0125,1.2
121.8625,25.0125,1.1
121.8750,25.0125,0.8
121.8875,25.0125,0.7
121.9000,25.0125,0.6
121.9125,25.0125,0.6
121.9250,25.0125,0.4
121.9375,25.0125,0.3
121.9500,25.0125,0.3
121.9625,25.0125,0.3
121.9750,25.0125,0.2
121.9875,25.0125,0.1
122.0000,25.0125,0.1
121.0250,25.0000,0.0
121.0375,25.0000,0.0
121.0500,25.0000,0.0
121.0625,25.0000,0.0
121.0750,25.0000,0.0
121.0875,25.0000,0.0
121.1000,25.0000,0.0
121.1125,25.0000,0.0
121.1250,25.0000,0.0
121.1375,25.0000,0.0
121.1500,25.0000,0.0
121.1625,25.0000,0.0
121.1750,25.0000,0.0
121.1875,25.0000,0.0
121.2000,25.0000,0.1
121.2125,25.0000,0.1
121.2250,25.0000,0.2
121.2375,25.0000,0.3
121.2500,25.0000,0.4
121.2625,25.0000,0.4
121.2750,25.0000,0.6
121.2875,25.0000,0.7
121.3000,25.0000,0.7
121.3125,25.0000,0.7
121.3250,25.0000,0.8
121.3375,25.0000,0.8
121.3500,25.0000,0.9
121.3625,25.0000,0.9
121.3750,25.0000,1.0
121.3875,25.0000,1.1
121.4000,25.0000,1.1
121.4125,25.0000,1.0
121.4250,25.0000,0.9
121.4375,25.0000,0.9
121.4500,25.0000,0.8
121.4625,25.0000,0.8
121.4750,25.0000,0.8
121.4875,25.0000,0.8
